"filename", "language", "Python", "Shell Script", "Markdown", "pip requirements", "toml", "HTML", "JavaScript", "CSS", "Batch", "PowerShell", "Properties", "TSV", "XML", "comment", "blank", "total"
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_distutils_hack\__init__.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 52, 223
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_distutils_hack\override.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_argcomplete.py", "Python", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 117
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_code\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_code\code.py", "Python", 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 208, 1338
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_code\source.py", "Python", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 33, 218
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_io\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_io\saferepr.py", "Python", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35, 181
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_io\terminalwriter.py", "Python", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 234
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_io\wcwidth.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 56
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_py\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_py\error.py", "Python", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 110
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_py\path.py", "Python", 1227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 204, 1476
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\_version.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\assertion\__init__.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38, 182
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\assertion\rewrite.py", "Python", 970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 151, 1212
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\assertion\truncate.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 116
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\assertion\util.py", "Python", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 84, 523
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\cacheprovider.py", "Python", 485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 96, 603
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\capture.py", "Python", 825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 224, 1083
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\compat.py", "Python", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 87, 436
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\config\__init__.py", "Python", 1438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 260, 1817
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\config\argparsing.py", "Python", 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 69, 552
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\config\compat.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 71
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\config\exceptions.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\config\findpaths.py", "Python", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 219
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\debugging.py", "Python", 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 70, 392
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\deprecated.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 25, 147
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\doctest.py", "Python", 620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 125, 772
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\faulthandler.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25, 95
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\fixtures.py", "Python", 1321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 219, 1714
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\freeze_support.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 45
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\helpconfig.py", "Python", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36, 271
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\hookspec.py", "Python", 659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 286, 980
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\junitxml.py", "Python", 561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 114, 701
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\legacypath.py", "Python", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 120, 480
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\logging.py", "Python", 717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 167, 921
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\main.py", "Python", 751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 122, 914
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\mark\__init__.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62, 270
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\mark\expression.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49, 229
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\mark\structures.py", "Python", 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 105, 619
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\monkeypatch.py", "Python", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 78, 422
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\nodes.py", "Python", 599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 138, 784
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\nose.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 51
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\outcomes.py", "Python", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74, 312
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\pastebin.py", "Python", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 111
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\pathlib.py", "Python", 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 146, 805
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\pytester.py", "Python", 1438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 306, 1790
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\pytester_assertions.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 76
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\python.py", "Python", 1478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 237, 1844
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\python_api.py", "Python", 741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 190, 997
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\python_path.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 25
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\recwarn.py", "Python", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62, 314
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\reports.py", "Python", 489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 102, 623
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\runner.py", "Python", 430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 91, 552
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\scope.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 92
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\setuponly.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 98
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\setupplan.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 41
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\skipping.py", "Python", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50, 298
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\stash.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35, 113
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\stepwise.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 131
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\terminal.py", "Python", 1263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 190, 1482
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\threadexception.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 89
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\timing.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\tmpdir.py", "Python", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 53, 325
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\unittest.py", "Python", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 57, 422
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\unraisableexception.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 94
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\warning_types.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57, 171
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\_pytest\warnings.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 149
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\compatibility.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 49
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\current_thread_executor.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 116
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\local.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 129
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\server.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 158
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\sync.py", "Python", 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 83, 614
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\testing.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 104
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\timeout.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 119
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\typing.py", "Python", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 279
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\asgiref\wsgi.py", "Python", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 167
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\ansi.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 103
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\ansitowin32.py", "Python", 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 44, 278
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\initialise.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 122
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\ansi_test.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 77
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\ansitowin32_test.py", "Python", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44, 295
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\initialise_test.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 190
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\isatty_test.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 58
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\utils.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 50
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\tests\winterm_test.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 132
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\win32.py", "Python", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 181
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\colorama\winterm.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 24, 196
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\apps.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\checks.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 179
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\conf.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 76
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\defaults.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\middleware.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 170
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\corsheaders\signals.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\__init__.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\__main__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\apps\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\apps\config.py", "Python", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 36, 275
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\apps\registry.py", "Python", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 80, 437
"c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\__init__.py", "Python", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 61, 404
