Date : 2025-01-24 16:19:33
Directory : c:\Users\hondak\projects\cline-test-app
Total : 2269 files,  426690 codes, 33148 comments, 76896 blanks, all 536734 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,866 |    392,085 |     28,301 |     70,541 |    490,927 |
| JavaScript       |        100 |     19,819 |      4,312 |      4,394 |     28,525 |
| CSS              |         26 |      6,149 |        147 |      1,129 |      7,425 |
| HTML             |        227 |      4,678 |         20 |        684 |      5,382 |
| TSV              |          8 |      2,795 |          0 |          8 |      2,803 |
| XML              |         31 |        877 |          1 |         29 |        907 |
| Markdown         |          4 |        121 |          0 |         51 |        172 |
| PowerShell       |          1 |        108 |        360 |         35 |        503 |
| Batch            |          2 |         40 |          1 |         17 |         58 |
| Shell Script     |          1 |          7 |          6 |          5 |         18 |
| pip requirements |          1 |          5 |          0 |          1 |          6 |
| toml             |          1 |          3 |          0 |          1 |          4 |
| Properties       |          1 |          3 |          0 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |      2,269 |    426,690 |     33,148 |     76,896 |    536,734 |
| attendance_env                                                                                                                                         |      2,240 |    426,007 |     33,101 |     76,694 |    535,802 |
| attendance_env (Files)                                                                                                                                 |          1 |          3 |          0 |          1 |          4 |
| attendance_env\Lib                                                                                                                                     |      2,236 |    425,856 |     32,740 |     76,641 |    535,237 |
| attendance_env\Lib\site-packages                                                                                                                       |      2,236 |    425,856 |     32,740 |     76,641 |    535,237 |
| attendance_env\Lib\site-packages (Files)                                                                                                               |          2 |      2,740 |        239 |        674 |      3,653 |
| attendance_env\Lib\site-packages\_distutils_hack                                                                                                       |          2 |        154 |         18 |         53 |        225 |
| attendance_env\Lib\site-packages\_pytest                                                                                                               |         68 |     24,468 |      1,685 |      5,237 |     31,390 |
| attendance_env\Lib\site-packages\_pytest (Files)                                                                                                       |         46 |     16,956 |      1,166 |      3,800 |     21,922 |
| attendance_env\Lib\site-packages\_pytest\_code                                                                                                         |          3 |      1,243 |         93 |        243 |      1,579 |
| attendance_env\Lib\site-packages\_pytest\_io                                                                                                           |          4 |        365 |         34 |         81 |        480 |
| attendance_env\Lib\site-packages\_pytest\_py                                                                                                           |          3 |      1,314 |         47 |        226 |      1,587 |
| attendance_env\Lib\site-packages\_pytest\assertion                                                                                                     |          4 |      1,594 |        149 |        290 |      2,033 |
| attendance_env\Lib\site-packages\_pytest\config                                                                                                        |          5 |      2,141 |        149 |        381 |      2,671 |
| attendance_env\Lib\site-packages\_pytest\mark                                                                                                          |          3 |        855 |         47 |        216 |      1,118 |
| attendance_env\Lib\site-packages\asgiref                                                                                                               |         10 |      1,312 |        152 |        273 |      1,737 |
| attendance_env\Lib\site-packages\colorama                                                                                                              |         13 |      1,288 |        106 |        298 |      1,692 |
| attendance_env\Lib\site-packages\colorama (Files)                                                                                                      |          6 |        662 |         79 |        147 |        888 |
| attendance_env\Lib\site-packages\colorama\tests                                                                                                        |          7 |        626 |         27 |        151 |        804 |
| attendance_env\Lib\site-packages\corsheaders                                                                                                           |          7 |        377 |         11 |         85 |        473 |
| attendance_env\Lib\site-packages\django                                                                                                                |      1,162 |    145,296 |     14,530 |     26,767 |    186,593 |
| attendance_env\Lib\site-packages\django (Files)                                                                                                        |          3 |        144 |          9 |         38 |        191 |
| attendance_env\Lib\site-packages\django\apps                                                                                                           |          3 |        488 |        111 |        118 |        717 |
| attendance_env\Lib\site-packages\django\conf                                                                                                           |        162 |      3,028 |      1,032 |        454 |      4,514 |
| attendance_env\Lib\site-packages\django\conf (Files)                                                                                                   |          2 |        623 |        280 |        183 |      1,086 |
| attendance_env\Lib\site-packages\django\conf\locale                                                                                                    |        157 |      2,343 |        750 |        254 |      3,347 |
| attendance_env\Lib\site-packages\django\conf\locale (Files)                                                                                            |          1 |        621 |          0 |          3 |        624 |
| attendance_env\Lib\site-packages\django\conf\locale\ar                                                                                                 |          2 |          7 |         13 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\ar_DZ                                                                                              |          2 |         22 |          6 |          3 |         31 |
| attendance_env\Lib\site-packages\django\conf\locale\az                                                                                                 |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\bg                                                                                                 |          2 |          6 |         14 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\bn                                                                                                 |          2 |         22 |          9 |          3 |         34 |
| attendance_env\Lib\site-packages\django\conf\locale\bs                                                                                                 |          2 |          8 |         12 |          3 |         23 |
| attendance_env\Lib\site-packages\django\conf\locale\ca                                                                                                 |          2 |         23 |          6 |          3 |         32 |
| attendance_env\Lib\site-packages\django\conf\locale\ckb                                                                                                |          2 |         10 |         10 |          3 |         23 |
